,0,1,2,3,4,5,6
104,2021-05-01 17:31:31,浙江,杭州,181,0,181,0
105,2021-05-01 17:31:31,海南,境外输入,19,0,2,0
106,2021-05-01 17:31:31,海南,保亭,3,0,3,0
107,2021-05-01 17:31:31,海南,海口,39,0,39,0
108,2021-05-01 17:31:31,海南,儋州,15,0,14,1
109,2021-05-01 17:31:31,海南,东方,3,0,2,1
110,2021-05-01 17:31:31,海南,万宁,13,0,13,0
111,2021-05-01 17:31:31,海南,澄迈县,9,0,8,1
112,2021-05-01 17:31:31,海南,昌江县,7,0,7,0
113,2021-05-01 17:31:31,海南,三亚,55,0,54,1
114,2021-05-01 17:31:31,海南,琼海,6,0,5,1
115,2021-05-01 17:31:31,海南,临高县,6,0,6,0
116,2021-05-01 17:31:31,海南,陵水县,4,0,4,0
117,2021-05-01 17:31:31,海南,乐东,2,0,2,0
118,2021-05-01 17:31:31,海南,文昌,3,0,3,0
119,2021-05-01 17:31:31,海南,定安县,3,0,2,1
120,2021-05-01 17:31:31,海南,琼中县,1,0,1,0
121,2021-05-01 17:31:31,陕西,境外输入,342,0,327,0
122,2021-05-01 17:31:31,陕西,韩城,1,0,1,0
123,2021-05-01 17:31:31,陕西,渭南,17,0,17,0
124,2021-05-01 17:31:31,陕西,地区待确认,0,0,0,0
125,2021-05-01 17:31:31,陕西,咸阳,17,0,17,0
126,2021-05-01 17:31:31,陕西,汉中,26,0,26,0
127,2021-05-01 17:31:31,陕西,杨凌,1,0,1,0
128,2021-05-01 17:31:31,陕西,西安,121,0,118,3
129,2021-05-01 17:31:31,陕西,榆林,3,0,3,0
130,2021-05-01 17:31:31,陕西,商洛,7,0,7,0
131,2021-05-01 17:31:31,陕西,铜川,8,0,8,0
132,2021-05-01 17:31:31,陕西,延安,8,0,8,0
133,2021-05-01 17:31:31,陕西,宝鸡,13,0,13,0
134,2021-05-01 17:31:31,陕西,安康,26,0,26,0
135,2021-05-01 17:31:31,江苏,境外输入,88,0,79,0
136,2021-05-01 17:31:31,江苏,徐州,79,0,79,0
137,2021-05-01 17:31:31,江苏,宿迁,13,0,13,0
138,2021-05-01 17:31:31,江苏,南通,40,0,40,0
139,2021-05-01 17:31:31,江苏,苏州,87,0,87,0
140,2021-05-01 17:31:31,江苏,南京,93,0,93,0
141,2021-05-01 17:31:31,江苏,无锡,55,0,55,0
142,2021-05-01 17:31:31,江苏,盐城,27,0,27,0
143,2021-05-01 17:31:31,江苏,连云港,48,0,48,0
144,2021-05-01 17:31:31,江苏,淮安,66,0,66,0
145,2021-05-01 17:31:31,江苏,镇江,12,0,12,0
146,2021-05-01 17:31:31,江苏,常州,51,0,51,0
147,2021-05-01 17:31:31,江苏,扬州,23,0,23,0
148,2021-05-01 17:31:31,江苏,泰州,37,0,37,0
149,2021-05-01 17:31:31,天津,境外输入,238,0,230,0
150,2021-05-01 17:31:31,天津,宁河区,4,0,4,0
151,2021-05-01 17:31:31,天津,北辰区,7,0,7,0
152,2021-05-01 17:31:31,天津,宝坻区,60,0,58,2
153,2021-05-01 17:31:31,天津,河北区,12,0,12,0
154,2021-05-01 17:31:31,天津,津南区,2,0,2,0
155,2021-05-01 17:31:31,天津,南开区,6,0,6,0
156,2021-05-01 17:31:31,天津,河东区,15,0,14,1
157,2021-05-01 17:31:31,天津,滨海新区,13,0,13,0
158,2021-05-01 17:31:31,天津,和平区,6,0,6,0
159,2021-05-01 17:31:31,天津,外地来津,6,0,6,0
160,2021-05-01 17:31:31,天津,武清区,2,0,2,0
161,2021-05-01 17:31:31,天津,东丽区,4,0,4,0
162,2021-05-01 17:31:31,天津,河西区,4,0,4,0
163,2021-05-01 17:31:31,天津,西青区,4,0,4,0
164,2021-05-01 17:31:31,天津,红桥区,2,0,2,0
165,2021-05-01 17:31:31,山西,境外输入,113,0,105,0
166,2021-05-01 17:31:31,山西,晋中,41,0,41,0
167,2021-05-01 17:31:31,山西,太原,21,0,21,0
168,2021-05-01 17:31:31,山西,大同,12,0,12,0
169,2021-05-01 17:31:31,山西,运城,19,0,19,0
170,2021-05-01 17:31:31,山西,忻州,7,0,7,0
171,2021-05-01 17:31:31,山西,晋城,10,0,10,0
172,2021-05-01 17:31:31,山西,长治,8,0,8,0
173,2021-05-01 17:31:31,山西,朔州,8,0,8,0
174,2021-05-01 17:31:31,山西,临汾,2,0,2,0
175,2021-05-01 17:31:31,山西,阳泉,4,0,4,0
176,2021-05-01 17:31:31,山西,吕梁,6,0,6,0
177,2021-05-01 17:31:31,北京,境外输入,229,0,222,0
178,2021-05-01 17:31:31,北京,石景山,15,0,15,0
179,2021-05-01 17:31:31,北京,朝阳,80,0,80,0
180,2021-05-01 17:31:31,北京,怀柔,8,0,8,0
181,2021-05-01 17:31:31,北京,顺义,45,0,45,0
182,2021-05-01 17:31:31,北京,大兴,134,0,134,0
183,2021-05-01 17:31:31,北京,延庆,1,0,1,0
184,2021-05-01 17:31:31,北京,密云,7,0,7,0
185,2021-05-01 17:31:31,北京,外地来京,25,0,25,0
186,2021-05-01 17:31:31,北京,地区待确认,5,0,5,0
187,2021-05-01 17:31:31,北京,东城,19,0,19,0
188,2021-05-01 17:31:31,北京,通州,20,0,11,9
189,2021-05-01 17:31:31,北京,房山,20,0,20,0
190,2021-05-01 17:31:31,北京,西城,59,0,59,0
191,2021-05-01 17:31:31,北京,海淀,82,0,82,0
192,2021-05-01 17:31:31,北京,丰台,273,0,273,0
193,2021-05-01 17:31:31,北京,昌平,30,0,30,0
194,2021-05-01 17:31:31,北京,门头沟,5,0,5,0
195,2021-05-01 17:31:31,湖北,境外输入,23,0,17,0
196,2021-05-01 17:31:31,湖北,武汉,50340,0,46471,3869
197,2021-05-01 17:31:31,湖北,仙桃,575,0,553,22
198,2021-05-01 17:31:31,湖北,宜昌,931,0,894,37
199,2021-05-01 17:31:31,湖北,荆州,1580,0,1528,52
200,2021-05-01 17:31:31,湖北,黄冈,2907,0,2782,125
201,2021-05-01 17:31:31,湖北,孝感,3518,0,3389,129
202,2021-05-01 17:31:31,湖北,黄石,1015,0,976,39
203,2021-05-01 17:31:31,湖北,荆门,928,0,887,41
204,2021-05-01 17:31:31,湖北,十堰,672,0,664,8
205,2021-05-01 17:31:31,湖北,神农架,11,0,11,0
206,2021-05-01 17:31:31,湖北,鄂州,1394,0,1335,59
207,2021-05-01 17:31:31,湖北,天门,496,0,481,15
208,2021-05-01 17:31:31,湖北,潜江,198,0,189,9
209,2021-05-01 17:31:31,湖北,恩施州,252,0,245,7
210,2021-05-01 17:31:31,湖北,随州,1307,0,1262,45
211,2021-05-01 17:31:31,湖北,咸宁,836,0,821,15
212,2021-05-01 17:31:31,湖北,襄阳,1175,0,1135,40
